,player,x_start,y_start,recipient_name,x_end,y_end,pass_type,pass_outcome
528,Leonardo Bonucci,50.0,31.8,Giorgio Chiellini,51.5,16.8,,
529,Giorgio Chiellini,52.9,20.9,Leonardo Bonucci,48.0,33.4,,
530,Leonardo Bonucci,48.0,33.4,Jorge Luiz Frello Filho,55.2,24.3,,
531,Jorge Luiz Frello Filho,58.9,25.2,Lorenzo Insigne,71.2,28.6,,
532,Giorgio Chiellini,64.4,27.5,Leonardo Bonucci,47.1,38.0,,
533,Leonardo Bonucci,47.1,38.0,Marco Verratti,54.0,28.9,,
534,Marco Verratti,55.5,28.3,Lorenzo Insigne,61.2,27.5,,
535,Lorenzo Insigne,61.2,27.5,Marco Verratti,54.6,27.7,,
536,Marco Verratti,53.8,34.8,Jorge Luiz Frello Filho,51.7,44.0,,
537,Jorge Luiz Frello Filho,49.2,49.2,Leonardo Bonucci,44.4,35.7,,
538,Leonardo Bonucci,44.4,35.7,Giorgio Chiellini,45.5,26.0,,
539,Giorgio Chiellini,46.1,26.0,Jorge Luiz Frello Filho,48.6,53.4,,
540,Jorge Luiz Frello Filho,68.0,37.7,Marco Verratti,68.3,26.0,,
541,Marco Verratti,70.0,28.0,Lorenzo Insigne,76.1,33.4,,
542,Lorenzo Insigne,76.1,33.4,Jorge Luiz Frello Filho,69.2,37.4,,
543,Jorge Luiz Frello Filho,70.5,35.6,Lorenzo Insigne,81.9,33.9,,
544,Lorenzo Insigne,81.9,33.9,Marco Verratti,78.2,32.7,,Incomplete
545,Emerson Palmieri dos Santos,29.1,22.9,Gianluigi Donnarumma,3.8,29.8,Interception,
546,Gianluigi Donnarumma,4.9,33.4,Leonardo Bonucci,11.4,38.6,,
547,Leonardo Bonucci,12.9,36.8,Giorgio Chiellini,20.0,25.7,,
548,Giorgio Chiellini,20.0,25.7,Marco Verratti,24.4,29.2,,
549,Marco Verratti,26.8,32.3,Jorge Luiz Frello Filho,31.2,55.7,,
550,Jorge Luiz Frello Filho,35.5,61.7,Leonardo Bonucci,32.3,41.2,,
551,Leonardo Bonucci,36.0,40.3,Giorgio Chiellini,45.2,14.0,,
552,Giorgio Chiellini,47.4,12.0,Emerson Palmieri dos Santos,64.1,18.0,,
553,Emerson Palmieri dos Santos,64.7,17.4,Lorenzo Insigne,80.1,4.6,,
554,Lorenzo Insigne,76.6,7.2,Marco Verratti,76.4,9.5,,Incomplete
555,Marco Verratti,70.9,0.1,Leonardo Bonucci,54.9,29.5,Throw-in,
556,Leonardo Bonucci,54.9,29.5,Domenico Berardi,106.1,38.3,,
557,Giovanni Di Lorenzo,61.2,58.0,Jorge Luiz Frello Filho,68.6,56.6,Recovery,
558,Jorge Luiz Frello Filho,68.6,56.6,Bryan Cristante,65.0,50.4,,
559,Bryan Cristante,65.0,50.4,Domenico Berardi,78.7,51.8,,
560,Domenico Berardi,78.7,51.8,Bryan Cristante,69.8,48.9,,
561,Bryan Cristante,69.8,48.9,Marco Verratti,67.7,42.0,,
562,Marco Verratti,67.7,38.0,Federico Chiesa,78.1,28.9,,
563,Federico Chiesa,74.6,31.8,Lorenzo Insigne,87.6,45.8,,
564,Lorenzo Insigne,91.5,49.5,Bryan Cristante,99.0,36.0,,
565,Emerson Palmieri dos Santos,70.9,6.9,Lorenzo Insigne,91.5,22.6,Recovery,
566,Lorenzo Insigne,91.2,22.9,Marco Verratti,84.7,16.5,,
567,Marco Verratti,84.7,16.5,Lorenzo Insigne,90.1,23.7,,
568,Lorenzo Insigne,89.8,30.3,Federico Chiesa,98.7,16.3,,
569,Marco Verratti,93.2,2.0,Giorgio Chiellini,63.5,4.9,Free Kick,
570,Giorgio Chiellini,61.8,8.9,Marco Verratti,70.6,10.6,,
571,Marco Verratti,71.5,19.1,Leonardo Bonucci,55.5,32.1,,
572,Leonardo Bonucci,55.5,32.1,Giorgio Chiellini,61.2,22.9,,
573,Giorgio Chiellini,63.0,18.3,Marco Verratti,69.8,8.6,,
574,Marco Verratti,69.8,10.6,Giorgio Chiellini,61.2,20.6,,
575,Giorgio Chiellini,60.9,23.4,Leonardo Bonucci,56.9,45.2,,
576,Leonardo Bonucci,58.6,44.9,Jorge Luiz Frello Filho,62.4,29.5,,
577,Jorge Luiz Frello Filho,64.7,26.0,Marco Verratti,73.5,5.1,,
