,period,player,x_start,y_start,recipient_name,x_end,y_end,pass_type,pass_outcome
41,1,Giorgio Chiellini,54.3,6.5,Leonardo Bonucci,42.2,31.5,,
42,1,Leonardo Bonucci,43.4,33.5,Giovanni Di Lorenzo,54.6,63.4,,
43,1,Giovanni Di Lorenzo,61.2,64.7,Federico Chiesa,104.6,74.2,,
44,1,Lorenzo Insigne,56.7,35.9,Giorgio Chiellini,46.4,39.6,Recovery,Incomplete
45,1,Marco Verratti,13.0,28.1,Jorge Luiz Frello Filho,11.0,32.3,Recovery,
46,1,Jorge Luiz Frello Filho,11.2,32.2,Ciro Immobile,27.2,25.3,,
47,1,Ciro Immobile,27.2,25.3,Lorenzo Insigne,33.9,7.3,,
48,1,Emerson Palmieri dos Santos,43.4,2.7,Leonardo Bonucci,34.7,30.5,Free Kick,
49,1,Leonardo Bonucci,35.2,36.7,Marco Verratti,47.8,25.7,,
50,1,Marco Verratti,55.7,26.3,Lorenzo Insigne,61.6,13.3,,
51,1,Lorenzo Insigne,69.0,13.3,Jorge Luiz Frello Filho,66.9,23.4,,
52,1,Jorge Luiz Frello Filho,66.9,23.4,Marco Verratti,66.6,17.2,,
53,1,Marco Verratti,74.9,13.7,Lorenzo Insigne,80.2,3.7,,
54,1,Lorenzo Insigne,83.1,6.5,Ciro Immobile,113.8,36.7,,Incomplete
55,1,Gianluigi Donnarumma,16.8,37.5,Ciro Immobile,29.7,35.4,,
56,1,Gianluigi Donnarumma,10.7,33.9,Emerson Palmieri dos Santos,28.9,13.9,,
57,1,Emerson Palmieri dos Santos,35.4,8.7,Lorenzo Insigne,49.5,1.7,,
58,1,Lorenzo Insigne,47.4,1.6,Marco Verratti,36.5,10.7,,
59,1,Marco Verratti,36.7,9.9,Lorenzo Insigne,47.6,2.9,,
60,1,Lorenzo Insigne,53.8,6.8,Marco Verratti,49.5,11.6,,
61,1,Marco Verratti,49.6,12.2,Leonardo Bonucci,41.7,40.6,,
62,1,Leonardo Bonucci,42.9,41.8,Jorge Luiz Frello Filho,57.8,42.6,,
63,1,Jorge Luiz Frello Filho,57.2,48.3,Leonardo Bonucci,57.4,35.6,,
64,1,Leonardo Bonucci,57.1,35.6,Marco Verratti,64.5,10.8,,
65,1,Marco Verratti,69.8,15.2,Leonardo Bonucci,56.5,34.0,,
66,1,Leonardo Bonucci,57.6,36.1,Jorge Luiz Frello Filho,63.2,50.0,,
67,1,Jorge Luiz Frello Filho,74.9,60.4,Giovanni Di Lorenzo,82.4,77.1,,
68,1,Giovanni Di Lorenzo,82.4,77.1,Jorge Luiz Frello Filho,82.3,66.3,,
69,1,Jorge Luiz Frello Filho,84.0,63.7,Marco Verratti,78.7,47.9,,
70,1,Marco Verratti,78.7,45.1,Emerson Palmieri dos Santos,91.6,35.4,,
71,1,Gianluigi Donnarumma,32.3,13.3,Giorgio Chiellini,42.2,11.5,,
72,1,Giorgio Chiellini,42.1,9.9,Leonardo Bonucci,45.9,42.3,,
73,1,Leonardo Bonucci,47.8,45.1,Giovanni Di Lorenzo,63.3,74.2,,
74,1,Giovanni Di Lorenzo,66.2,76.0,Nicolò Barella,75.7,75.0,,Incomplete
75,1,Nicolò Barella,62.5,80.0,Giovanni Di Lorenzo,52.9,76.2,Throw-in,
76,1,Giovanni Di Lorenzo,52.5,76.3,Federico Chiesa,63.8,69.9,,
77,1,Federico Chiesa,63.8,69.9,Jorge Luiz Frello Filho,49.9,61.6,,
78,1,Jorge Luiz Frello Filho,63.8,49.6,Marco Verratti,56.5,39.2,,
79,1,Marco Verratti,56.8,37.6,Giorgio Chiellini,63.7,17.3,,
80,1,Giorgio Chiellini,63.7,17.7,Marco Verratti,62.8,27.2,,
81,1,Marco Verratti,68.6,24.4,Lorenzo Insigne,71.5,5.2,,
82,1,Lorenzo Insigne,71.9,6.9,Marco Verratti,71.9,20.7,,
83,1,Marco Verratti,65.9,22.8,Giorgio Chiellini,55.5,16.6,,
84,1,Giorgio Chiellini,55.5,16.6,Leonardo Bonucci,51.2,38.3,,
85,1,Leonardo Bonucci,51.2,38.3,Jorge Luiz Frello Filho,63.7,37.5,,
86,1,Jorge Luiz Frello Filho,74.5,45.8,Emerson Palmieri dos Santos,106.8,23.2,,Pass Offside
87,1,Gianluigi Donnarumma,6.0,44.0,Leonardo Bonucci,2.1,57.2,Goal Kick,
88,1,Leonardo Bonucci,3.2,56.6,Gianluigi Donnarumma,5.8,38.6,,
89,1,Gianluigi Donnarumma,7.3,39.7,Leonardo Bonucci,6.0,54.3,,
90,1,Leonardo Bonucci,6.5,57.9,Nicolò Barella,43.5,58.3,,Incomplete
91,1,Jorge Luiz Frello Filho,42.5,58.3,Leonardo Bonucci,28.4,53.8,,
92,1,Leonardo Bonucci,33.0,53.0,Lorenzo Insigne,78.7,2.9,,
93,1,Lorenzo Insigne,78.5,5.7,,98.4,30.5,,Incomplete
94,1,Emerson Palmieri dos Santos,107.2,0.1,Lorenzo Insigne,95.7,2.9,Throw-in,
95,1,Lorenzo Insigne,85.8,16.8,Leonardo Bonucci,71.1,30.9,,
96,1,Leonardo Bonucci,69.0,31.5,Giovanni Di Lorenzo,71.6,57.0,,
97,1,Giovanni Di Lorenzo,73.7,64.1,Federico Chiesa,96.1,79.8,,Out
98,1,Emerson Palmieri dos Santos,77.4,0.1,Lorenzo Insigne,80.6,5.2,Throw-in,
99,1,Lorenzo Insigne,80.2,5.4,Emerson Palmieri dos Santos,80.2,0.7,,
100,1,Emerson Palmieri dos Santos,80.2,0.7,Marco Verratti,74.1,1.0,,
101,1,Marco Verratti,72.8,2.4,Leonardo Bonucci,55.7,32.3,,
102,1,Leonardo Bonucci,81.4,36.7,Marco Verratti,87.2,19.7,,Incomplete
103,1,Lorenzo Insigne,8.6,6.5,Emerson Palmieri dos Santos,1.6,14.9,Recovery,
104,1,Emerson Palmieri dos Santos,1.6,14.9,,18.1,0.1,,Out
105,1,Emerson Palmieri dos Santos,36.0,0.1,Nicolò Barella,36.7,6.1,Throw-in,
106,1,Nicolò Barella,37.5,6.9,Emerson Palmieri dos Santos,35.8,2.0,,
107,1,Emerson Palmieri dos Santos,35.8,2.0,Lorenzo Insigne,52.4,6.9,,Incomplete
108,1,Giorgio Chiellini,6.0,36.0,Gianluigi Donnarumma,4.5,41.3,Goal Kick,
109,1,Gianluigi Donnarumma,6.8,43.4,Ciro Immobile,59.7,46.7,,
110,1,Ciro Immobile,63.2,53.8,Federico Chiesa,91.2,77.1,,
111,1,Federico Chiesa,110.9,64.7,Lorenzo Insigne,110.4,45.2,,Incomplete
112,1,Giovanni Di Lorenzo,76.8,55.9,Marco Verratti,79.1,57.4,Recovery,Incomplete
113,1,Jorge Luiz Frello Filho,28.9,33.6,Marco Verratti,16.4,36.7,Recovery,
114,1,Marco Verratti,16.4,36.7,Gianluigi Donnarumma,2.9,37.9,,
115,1,Gianluigi Donnarumma,5.2,38.8,Ciro Immobile,42.7,17.6,,
116,1,Lorenzo Insigne,98.3,17.6,Ciro Immobile,104.6,37.0,,Incomplete
117,1,Emerson Palmieri dos Santos,12.7,7.7,Giorgio Chiellini,7.9,21.5,Free Kick,
118,1,Giorgio Chiellini,7.9,23.2,Leonardo Bonucci,9.0,43.0,,
119,1,Leonardo Bonucci,25.7,50.8,Giovanni Di Lorenzo,41.4,73.6,,
120,1,Giovanni Di Lorenzo,40.4,73.2,Leonardo Bonucci,28.9,50.8,,
121,1,Leonardo Bonucci,35.2,40.1,Ciro Immobile,74.5,52.6,,Incomplete
122,1,Nicolò Barella,48.5,15.6,Lorenzo Insigne,56.7,19.8,,
123,1,Lorenzo Insigne,56.7,19.8,Jorge Luiz Frello Filho,54.7,27.6,,
124,1,Jorge Luiz Frello Filho,54.7,27.6,Lorenzo Insigne,58.7,16.9,,
125,1,Lorenzo Insigne,65.0,17.6,Nicolò Barella,72.9,20.6,,
126,1,Nicolò Barella,79.3,8.2,Emerson Palmieri dos Santos,90.9,0.8,,
127,1,Emerson Palmieri dos Santos,90.9,0.8,Nicolò Barella,83.2,1.0,,
128,1,Nicolò Barella,78.1,2.0,Giorgio Chiellini,58.6,12.8,,
129,1,Giorgio Chiellini,58.0,14.7,Leonardo Bonucci,53.9,35.6,,
130,1,Leonardo Bonucci,56.8,35.4,Jorge Luiz Frello Filho,66.2,31.0,,
131,1,Jorge Luiz Frello Filho,71.3,28.1,Giorgio Chiellini,63.4,14.9,,
132,1,Giorgio Chiellini,63.3,16.9,Leonardo Bonucci,57.6,36.7,,
133,1,Leonardo Bonucci,62.8,43.7,Giovanni Di Lorenzo,69.4,73.7,,
134,1,Giovanni Di Lorenzo,69.4,74.2,Jorge Luiz Frello Filho,70.6,51.4,,
135,1,Jorge Luiz Frello Filho,70.6,51.4,Marco Verratti,69.6,56.6,,
136,1,Marco Verratti,69.6,56.6,Ciro Immobile,80.0,53.9,,
137,1,Ciro Immobile,84.1,64.6,Federico Chiesa,81.4,70.3,,
138,1,Federico Chiesa,81.4,70.3,Jorge Luiz Frello Filho,74.6,61.2,,
139,1,Jorge Luiz Frello Filho,76.1,59.3,Marco Verratti,76.6,38.8,,
140,1,Marco Verratti,76.4,40.1,Lorenzo Insigne,84.1,37.2,,
141,1,Emerson Palmieri dos Santos,78.3,1.7,Marco Verratti,75.7,7.1,Recovery,Incomplete
142,1,Giovanni Di Lorenzo,19.4,80.0,Leonardo Bonucci,8.1,69.5,Throw-in,
143,1,Leonardo Bonucci,8.2,68.0,Jorge Luiz Frello Filho,17.4,55.5,,
144,1,Jorge Luiz Frello Filho,25.2,33.9,Nicolò Barella,37.1,51.4,,
145,1,Nicolò Barella,31.4,48.7,Jorge Luiz Frello Filho,35.6,38.9,,
146,1,Jorge Luiz Frello Filho,37.5,38.8,Ciro Immobile,59.1,38.3,,Incomplete
147,1,Jorge Luiz Frello Filho,24.0,57.2,Leonardo Bonucci,21.1,49.9,,
148,1,Leonardo Bonucci,23.2,49.1,Jorge Luiz Frello Filho,25.5,57.2,,
149,1,Jorge Luiz Frello Filho,36.2,60.8,Nicolò Barella,52.1,72.9,,
150,1,Nicolò Barella,54.3,73.2,Giovanni Di Lorenzo,40.8,73.8,,
151,1,Giovanni Di Lorenzo,40.8,69.0,Leonardo Bonucci,31.9,51.7,,
152,1,Leonardo Bonucci,44.3,45.4,Marco Verratti,46.4,32.5,,
153,1,Marco Verratti,46.4,32.5,Lorenzo Insigne,63.8,21.6,,
154,1,Lorenzo Insigne,64.2,22.4,Ciro Immobile,69.8,29.8,,
155,1,Ciro Immobile,68.1,29.8,Jorge Luiz Frello Filho,61.1,44.7,,
156,1,Jorge Luiz Frello Filho,60.8,45.1,Giovanni Di Lorenzo,56.8,56.4,,
157,1,Giovanni Di Lorenzo,56.8,56.4,Nicolò Barella,72.8,64.7,,
158,1,Nicolò Barella,72.9,66.3,Giovanni Di Lorenzo,62.5,62.1,,
159,1,Giovanni Di Lorenzo,61.5,60.9,Leonardo Bonucci,53.0,38.6,,
160,1,Leonardo Bonucci,53.0,38.6,Giorgio Chiellini,61.9,18.0,,
161,1,Giorgio Chiellini,68.8,11.6,Lorenzo Insigne,79.1,13.9,,
162,1,Lorenzo Insigne,79.1,13.9,Giorgio Chiellini,68.4,8.1,,
163,1,Giorgio Chiellini,64.9,8.7,Leonardo Bonucci,49.1,30.1,,
164,1,Leonardo Bonucci,52.6,34.6,Federico Chiesa,99.6,60.4,,Incomplete
165,1,Leonardo Bonucci,59.9,70.7,Ciro Immobile,92.6,60.0,Interception,Incomplete
166,1,Giorgio Chiellini,57.4,38.9,Lorenzo Insigne,57.8,16.2,Recovery,
167,1,Lorenzo Insigne,57.4,14.7,Emerson Palmieri dos Santos,41.8,16.4,,
168,1,Emerson Palmieri dos Santos,43.5,16.9,Marco Verratti,47.9,28.9,,
169,1,Marco Verratti,49.6,32.2,Jorge Luiz Frello Filho,58.6,36.7,,
170,1,Jorge Luiz Frello Filho,58.2,36.7,Marco Verratti,50.3,36.7,,
171,1,Marco Verratti,56.8,29.8,Emerson Palmieri dos Santos,59.9,5.4,,
172,1,Emerson Palmieri dos Santos,69.0,6.8,Lorenzo Insigne,69.9,2.4,,
173,1,Lorenzo Insigne,68.1,5.0,Leonardo Bonucci,54.7,36.9,,
174,1,Leonardo Bonucci,56.8,39.2,Giorgio Chiellini,56.3,25.9,,
175,1,Giorgio Chiellini,56.3,26.1,Marco Verratti,74.4,6.9,,
176,1,Marco Verratti,79.1,7.3,Jorge Luiz Frello Filho,75.0,19.8,,
177,1,Jorge Luiz Frello Filho,73.2,23.4,Giorgio Chiellini,64.2,21.4,,
178,1,Giorgio Chiellini,63.8,21.5,Leonardo Bonucci,54.7,37.6,,
179,1,Leonardo Bonucci,55.5,36.1,Giorgio Chiellini,57.1,24.7,,
180,1,Giorgio Chiellini,56.8,24.9,Jorge Luiz Frello Filho,68.1,31.0,,
181,1,Jorge Luiz Frello Filho,70.3,30.2,Lorenzo Insigne,82.4,18.5,,
182,1,Lorenzo Insigne,101.7,23.2,Ciro Immobile,102.2,29.2,,Incomplete
183,1,Marco Verratti,105.9,24.7,Jorge Luiz Frello Filho,83.6,39.7,,
184,1,Jorge Luiz Frello Filho,79.3,45.2,Giovanni Di Lorenzo,84.8,68.0,,
185,1,Giovanni Di Lorenzo,85.6,68.0,Nicolò Barella,93.9,65.7,,
186,1,Nicolò Barella,94.0,65.4,Federico Chiesa,99.6,77.7,,
187,1,Federico Chiesa,97.8,76.9,Nicolò Barella,93.4,72.9,,
188,1,Nicolò Barella,93.0,76.6,Jorge Luiz Frello Filho,91.0,65.5,,
189,1,Jorge Luiz Frello Filho,91.0,66.3,Federico Chiesa,93.4,72.0,,
190,1,Federico Chiesa,91.2,71.2,Nicolò Barella,75.7,58.9,,
191,1,Nicolò Barella,71.5,46.2,Marco Verratti,78.5,37.6,,
192,1,Marco Verratti,78.5,37.6,Nicolò Barella,72.4,38.4,,
193,1,Nicolò Barella,71.6,32.2,Giorgio Chiellini,76.8,11.1,,
194,1,Giorgio Chiellini,73.3,17.3,Leonardo Bonucci,63.2,37.6,,
195,1,Leonardo Bonucci,63.7,38.4,Marco Verratti,70.7,40.1,,
196,1,Marco Verratti,72.7,43.0,Jorge Luiz Frello Filho,79.8,52.9,,
197,1,Jorge Luiz Frello Filho,79.8,52.9,Marco Verratti,78.9,47.3,,
198,1,Marco Verratti,80.2,44.1,Nicolò Barella,76.8,30.9,,
199,1,Nicolò Barella,76.8,30.9,Lorenzo Insigne,83.9,21.0,,
200,1,Lorenzo Insigne,82.8,21.5,Giorgio Chiellini,91.8,11.1,,
201,1,Giorgio Chiellini,91.8,11.1,Lorenzo Insigne,83.9,18.1,,
202,1,Lorenzo Insigne,83.2,19.0,Marco Verratti,81.0,24.4,,
203,1,Marco Verratti,81.0,24.4,Nicolò Barella,76.4,14.5,,
204,1,Nicolò Barella,76.4,14.5,Lorenzo Insigne,82.4,18.6,,
205,1,Lorenzo Insigne,83.1,19.8,Marco Verratti,78.5,26.1,,
206,1,Marco Verratti,87.0,21.9,Emerson Palmieri dos Santos,102.6,5.7,,
207,1,Emerson Palmieri dos Santos,102.6,5.7,Lorenzo Insigne,100.9,13.7,,
208,1,Lorenzo Insigne,100.3,12.6,Marco Verratti,97.3,16.9,,
209,1,Marco Verratti,95.3,16.2,,95.6,15.6,,Incomplete
210,1,Emerson Palmieri dos Santos,98.1,10.4,Giorgio Chiellini,80.4,6.8,,
211,1,Giorgio Chiellini,78.7,9.4,Leonardo Bonucci,70.2,26.1,,
212,1,Leonardo Bonucci,70.2,26.1,Giorgio Chiellini,71.6,9.0,,
213,1,Giorgio Chiellini,71.6,9.0,Lorenzo Insigne,84.5,6.5,,
214,1,Lorenzo Insigne,84.9,9.9,Marco Verratti,80.4,16.2,,
215,1,Marco Verratti,95.7,23.8,Lorenzo Insigne,100.1,18.9,,
216,1,Lorenzo Insigne,104.2,18.9,Emerson Palmieri dos Santos,118.9,16.6,,
217,1,Emerson Palmieri dos Santos,118.9,17.7,,120.0,20.7,,Out
218,1,Leonardo Bonucci,12.7,32.3,Lorenzo Insigne,45.6,16.2,,Incomplete
219,1,Giorgio Chiellini,9.4,8.6,Lorenzo Insigne,28.8,2.5,,
220,1,Emerson Palmieri dos Santos,30.9,0.1,Marco Verratti,32.7,7.1,Throw-in,
221,1,Marco Verratti,33.0,6.9,Emerson Palmieri dos Santos,33.0,2.0,,
222,1,Emerson Palmieri dos Santos,36.4,2.5,Ciro Immobile,46.2,9.5,,
223,1,Ciro Immobile,42.9,7.7,Lorenzo Insigne,43.0,3.1,,
224,1,Lorenzo Insigne,42.1,2.0,Giovanni Di Lorenzo,28.6,49.9,,
225,1,Giovanni Di Lorenzo,28.6,52.1,Nicolò Barella,49.9,75.4,,
226,1,Nicolò Barella,49.9,75.4,Federico Chiesa,65.0,75.4,,
227,1,Giovanni Di Lorenzo,16.0,80.0,Jorge Luiz Frello Filho,14.4,72.8,Throw-in,
228,1,Jorge Luiz Frello Filho,14.1,73.6,Giovanni Di Lorenzo,20.7,76.9,,
229,1,Giovanni Di Lorenzo,20.7,76.9,Jorge Luiz Frello Filho,9.0,74.5,,
230,1,Jorge Luiz Frello Filho,7.9,74.2,Leonardo Bonucci,2.9,57.0,,
231,1,Leonardo Bonucci,2.9,57.0,Gianluigi Donnarumma,5.4,34.6,,
232,1,Gianluigi Donnarumma,7.3,34.8,Marco Verratti,9.0,35.4,,
233,1,Marco Verratti,8.6,38.4,Leonardo Bonucci,6.2,53.5,,
234,1,Leonardo Bonucci,6.2,53.5,Gianluigi Donnarumma,7.2,37.2,,
235,1,Gianluigi Donnarumma,8.5,36.3,Leonardo Bonucci,15.7,40.1,,
236,1,Leonardo Bonucci,17.6,41.7,Ciro Immobile,48.9,28.5,,
237,1,Ciro Immobile,48.9,28.5,Marco Verratti,47.9,43.4,,Incomplete
238,1,Federico Chiesa,43.8,80.0,Giovanni Di Lorenzo,33.0,76.3,Throw-in,
239,1,Giovanni Di Lorenzo,33.0,76.3,Leonardo Bonucci,19.7,58.6,,
240,1,Leonardo Bonucci,29.7,55.3,Emerson Palmieri dos Santos,69.9,1.6,,
241,1,Emerson Palmieri dos Santos,69.9,1.6,Giorgio Chiellini,58.4,5.4,,
242,1,Giorgio Chiellini,64.9,6.1,Emerson Palmieri dos Santos,69.9,1.6,,
243,1,Lorenzo Insigne,78.7,27.1,Ciro Immobile,89.3,20.3,,Pass Offside
244,1,Gianluigi Donnarumma,6.0,36.0,Leonardo Bonucci,7.3,44.4,Goal Kick,
245,1,Leonardo Bonucci,24.9,40.9,Giorgio Chiellini,25.5,22.0,,
246,1,Giorgio Chiellini,25.5,22.0,Gianluigi Donnarumma,11.6,36.1,,
247,1,Gianluigi Donnarumma,11.9,34.8,Leonardo Bonucci,13.6,45.6,,
248,1,Leonardo Bonucci,14.1,46.7,Giovanni Di Lorenzo,24.2,72.9,,
249,1,Giovanni Di Lorenzo,27.2,75.2,Jorge Luiz Frello Filho,36.0,62.0,,
250,1,Jorge Luiz Frello Filho,40.0,62.6,Nicolò Barella,58.6,55.7,,
251,1,Nicolò Barella,63.4,46.7,Emerson Palmieri dos Santos,78.7,6.4,,
252,1,Emerson Palmieri dos Santos,99.6,15.1,Lorenzo Insigne,103.8,8.5,,
253,1,Lorenzo Insigne,103.8,8.5,Emerson Palmieri dos Santos,110.4,15.6,,
254,1,Emerson Palmieri dos Santos,110.4,16.0,Ciro Immobile,106.9,26.1,,Incomplete
255,1,Leonardo Bonucci,61.5,22.8,Giorgio Chiellini,65.5,18.2,,
256,1,Giorgio Chiellini,65.5,18.2,Leonardo Bonucci,44.3,21.4,,
257,1,Leonardo Bonucci,43.9,21.6,Giovanni Di Lorenzo,46.0,39.3,,
258,1,Giovanni Di Lorenzo,46.6,39.2,Jorge Luiz Frello Filho,53.9,42.3,,
259,1,Jorge Luiz Frello Filho,63.8,53.1,Leonardo Bonucci,51.7,36.5,,
260,1,Leonardo Bonucci,51.7,35.9,Giorgio Chiellini,62.0,13.2,,
261,1,Giorgio Chiellini,62.0,13.2,Lorenzo Insigne,64.2,2.9,,
262,1,Lorenzo Insigne,62.8,3.1,Leonardo Bonucci,48.5,28.5,,
263,1,Leonardo Bonucci,42.6,29.4,Jorge Luiz Frello Filho,50.3,57.0,,
264,1,Jorge Luiz Frello Filho,65.0,60.9,Giovanni Di Lorenzo,77.4,76.9,,
265,1,Giovanni Di Lorenzo,77.4,76.3,Ciro Immobile,82.4,63.0,,
266,1,Ciro Immobile,86.6,60.5,Nicolò Barella,87.4,63.4,,Incomplete
267,1,Ciro Immobile,90.9,61.7,Nicolò Barella,89.7,64.3,,
268,1,Marco Verratti,89.7,64.3,Giovanni Di Lorenzo,110.4,37.9,Free Kick,Incomplete
269,1,Federico Chiesa,94.3,41.1,Jorge Luiz Frello Filho,100.0,22.7,Recovery,
270,1,Jorge Luiz Frello Filho,98.9,23.9,Emerson Palmieri dos Santos,104.6,17.3,,
271,1,Emerson Palmieri dos Santos,103.0,12.9,Jorge Luiz Frello Filho,85.6,19.0,,
272,1,Jorge Luiz Frello Filho,84.9,18.9,Lorenzo Insigne,81.4,28.5,,
273,1,Lorenzo Insigne,81.4,28.5,Jorge Luiz Frello Filho,83.1,18.1,,
274,1,Jorge Luiz Frello Filho,91.6,16.0,Emerson Palmieri dos Santos,105.2,2.5,,
275,1,Emerson Palmieri dos Santos,105.2,2.5,Federico Chiesa,96.7,6.0,,
276,1,Federico Chiesa,98.4,9.5,Lorenzo Insigne,86.5,18.9,,
277,1,Lorenzo Insigne,86.5,18.9,Jorge Luiz Frello Filho,88.2,12.4,,
278,1,Jorge Luiz Frello Filho,89.7,12.0,Marco Verratti,82.3,21.6,,
279,1,Marco Verratti,87.0,21.1,Emerson Palmieri dos Santos,100.1,5.2,,
280,1,Emerson Palmieri dos Santos,98.6,5.7,Jorge Luiz Frello Filho,84.1,12.2,,
281,1,Jorge Luiz Frello Filho,84.5,12.6,Marco Verratti,79.1,21.1,,
282,1,Marco Verratti,79.4,21.0,Emerson Palmieri dos Santos,96.5,5.0,,
283,1,Emerson Palmieri dos Santos,99.0,5.0,,101.7,7.4,,Incomplete
284,1,Emerson Palmieri dos Santos,103.5,0.1,Lorenzo Insigne,116.0,4.6,Throw-in,
285,1,Leonardo Bonucci,41.2,22.8,Ciro Immobile,69.2,27.7,Recovery,Incomplete
286,1,Marco Verratti,60.8,33.9,Nicolò Barella,66.6,36.7,,
287,1,Gianluigi Donnarumma,13.0,34.2,Nicolò Barella,34.7,48.8,,
288,1,Nicolò Barella,39.4,50.9,Jorge Luiz Frello Filho,39.2,35.7,,
289,1,Jorge Luiz Frello Filho,54.7,39.3,Nicolò Barella,71.0,51.4,,
290,1,Giorgio Chiellini,28.9,45.4,Nicolò Barella,30.2,65.5,Recovery,
291,1,Nicolò Barella,29.6,62.5,Jorge Luiz Frello Filho,31.9,54.7,,
292,1,Jorge Luiz Frello Filho,33.5,55.9,Giovanni Di Lorenzo,22.4,61.6,,
293,1,Giovanni Di Lorenzo,22.4,61.6,Nicolò Barella,31.8,65.5,,
294,1,Nicolò Barella,28.0,65.4,Jorge Luiz Frello Filho,29.6,55.1,,
295,1,Jorge Luiz Frello Filho,28.6,54.9,Giovanni Di Lorenzo,14.9,65.1,,
296,1,Giovanni Di Lorenzo,15.5,55.9,Gianluigi Donnarumma,15.1,35.9,,
297,1,Gianluigi Donnarumma,18.4,34.8,Marco Verratti,36.2,33.5,,
298,1,Marco Verratti,35.2,35.2,Jorge Luiz Frello Filho,35.2,42.7,,
299,1,Jorge Luiz Frello Filho,35.2,42.7,Ciro Immobile,48.3,35.9,,
300,1,Ciro Immobile,48.3,35.9,Jorge Luiz Frello Filho,37.3,41.0,,
301,1,Jorge Luiz Frello Filho,52.1,40.0,Lorenzo Insigne,93.5,10.8,,
302,1,Lorenzo Insigne,118.1,6.9,Marco Verratti,110.4,6.9,,
